B1,B2,B3,B4,B5,B6,B7,Class
269,348,492,541,760,977,1003,1
261,346,495,548,790,1010,1043,1
255,344,496,553,787,974,1025,1
260,348,498,554,782,934,951,1
269,355,484,532,758,916,944,1
251,343,488,534,760,946,973,1
260,349,504,557,791,1005,1060,1
260,349,514,584,852,1063,1115,1
493,567,714,800,1084,1215,1041,1
407,510,658,760,1106,1028,901,1
484,556,687,780,1033,1117,965,1
520,576,703,785,1117,1273,1112,1
556,609,725,820,1086,1290,1127,1
529,597,721,807,1081,1234,1084,1
406,480,604,688,957,1193,1162,1
440,503,634,716,975,1370,1325,1
407,470,597,667,922,1216,1176,1
371,454,604,701,954,1172,1076,1
252,348,505,573,877,1245,1301,1
250,343,503,583,898,1178,1187,1
248,347,515,579,927,1232,1220,1
246,338,501,570,897,1225,1224,1
261,362,533,628,980,1392,1327,1
253,352,518,599,945,1218,1167,1
258,359,530,604,955,1287,1233,1
263,368,536,630,969,1282,1245,1
268,389,564,661,983,1293,1244,1
266,393,577,691,1019,1341,1249,1
275,368,541,632,972,1312,1257,1
258,364,533,626,947,1288,1221,1
254,344,508,580,867,1114,1110,1
259,344,519,610,951,1254,1219,1
255,341,503,561,824,1013,1011,1
254,361,534,610,934,1218,1184,1
301,426,616,711,1141,1649,1652,1
285,408,601,708,1212,1694,1606,1
301,432,623,717,1132,1624,1652,1
309,430,616,722,1118,1658,1700,1
277,403,603,705,1191,1651,1618,1
291,428,620,728,1197,1695,1647,1
209,303,462,530,894,1056,989,1
354,415,536,615,932,1293,1335,1
293,361,498,590,970,1248,1123,1
279,344,472,528,856,1074,1005,1
349,417,543,625,1012,1292,1223,1
198,286,428,484,838,1005,905,1
348,424,563,653,989,1591,1607,1
359,416,549,622,949,1376,1460,1
293,363,506,580,875,1261,1343,1
322,385,522,595,894,1335,1395,1
222,308,450,508,794,1049,1086,1
239,325,474,538,835,1133,1185,1
293,365,490,561,836,1138,1229,1
225,315,460,524,810,1124,1206,1
228,314,466,525,820,1071,1114,1
268,346,490,564,906,1231,1258,1
227,308,470,547,889,1169,1174,1
223,302,454,520,856,1093,1089,1
233,317,467,541,811,1104,1231,1
226,307,459,527,808,1235,1296,1
218,314,459,526,801,1162,1260,1
227,307,459,531,791,1055,1122,1
212,301,446,506,775,1160,1240,1
233,317,455,532,796,1101,1230,1
226,317,465,528,787,1110,1229,1
222,303,447,508,766,1133,1230,1
203,287,418,453,678,857,884,1
202,280,411,441,669,777,785,1
199,275,411,435,664,741,729,1
199,283,414,440,678,830,851,1
231,317,465,516,780,993,1020,1
209,281,415,449,679,785,806,1
355,454,632,721,1166,1479,1305,1
343,433,604,690,1096,1304,1175,1
302,391,558,614,969,1225,1223,1
288,388,556,609,973,1246,1253,1
282,378,548,609,957,1246,1256,1
